English,Russian
beginning,начало
behavior,поведение
behind,позади
being,существование
belief,вера
believe,полагать
bell,колокольчик
belong,принадлежать
below,ниже
belt,пояс
bench,скамья
bend,сгибать
beneath,под
benefit,выгода
beside,рядом
besides,Помимо
best,Лучший
bet,держать пари
better,лучше
between,между
beyond,вне
Bible,Библия
big,большой
bike,велосипед
bill,законопроект
billion,миллиард
bind,связывать
biological,биологический
bird,птица
birth,рождение
birthday,день рождения
bit,кусочек
bite,кусать
black,чернить
blade,лезвие
blame,обвинять
blanket,одеяло
blind,слепой
block,блокировать
blood,кровь
blow,дуть
blue,синий
board,доска
boat,лодка
body,тело
bomb,бомбить
bombing,бомбардировка
bond,связь
bone,кость
book,книга
boom,бум
boot,ботинок
border,граница
born,Родился
borrow,занимать
boss,босс
both,обе
bother,беспокоить
bottle,бутылка
bottom,Нижний
boundary,граница
bowl,чаша
box,коробка
boy,мальчик
boyfriend,парень
brain,мозг
branch,ветвь
brand,марка
bread,хлеб
break,перерыв
breakfast,завтрак
breast,грудь
breath,дыхание
breathe,дышать
brick,кирпич
bridge,мост
brief,краткий
briefly,кратко
bright,яркий
brilliant,блестящий
bring,приносить
British,Британский
broad,широкий
broken,сломанный
brother,родной брат
brown,коричневый
brush,щетка
buck,бак
budget,бюджет
build,строить
building,строительство
bullet,пуля
bunch,связка
burden,груз
burn,гореть
bury,хоронить
bus,автобус
business,бизнес
busy,занятый
but,но
butter,масло
button,кнопка
buy,купить
buyer,покупатель
by,к
cabin,салон самолета
cabinet,кабинет
cable,кабель
cake,торт
calculate,рассчитать
call,вызов
camera,камера
camp,лагерь
campaign,кампания
campus,кампус
can,могу
Canadian,Канадский
cancer,рак
candidate,кандидат
cap,шапка
capability,способность
capable,способный
capacity,емкость
capital,столица
captain,капитан
capture,захватывать
car,машина
carbon,углерод
card,карта
care,уход
career,карьера
careful,осторожный
carefully,осторожно
carrier,перевозчик
carry,нести
case,кейс
cash,денежные средства
cast,В ролях
cat,Кот
catch,ловить
category,категория
Catholic,Католический
cause,причина
ceiling,потолок
celebrate,праздновать
celebration,празднование
celebrity,знаменитость
cell,клетка
center,центр
central,центральный
century,век
CEO,Исполнительный директор
ceremony,церемония
certain,определенный
certainly,безусловно
chain,цепь
chair,стул
chairman,председатель
challenge,испытание
chamber,камера
champion,чемпион
championship,чемпионат
chance,шанс
change,изменять
changing,изменение
channel,канал
chapter,глава
character,персонаж
characteristic,характеристика
characterize,характеризовать
charge,заряжать
charity,благотворительность
chart,Диаграмма
chase,гнаться
cheap,дешевый
check,чек об оплате
cheek,щек
cheese,сыр
chef,шеф-повар
chemical,химический
chest,грудь
chicken,курица
chief,главный
child,ребенок
childhood,детство
Chinese,китайский язык
chip,чип
chocolate,шоколад
choice,выбор
cholesterol,холестерин
choose,выберите
Christian,Христианин
Christmas,Рождество
church,церковь
cigarette,сигарета
circle,круг
circumstance,обстоятельство
cite,cite
citizen,гражданин
city,город
civil,гражданское хозяйство
civilian,гражданский
claim,требовать
class,сорт
classic,классика
classroom,школьный класс
clean,чистый
clear,Чисто
clearly,четко
client,клиент
climate,климат
climb,взбираться
clinic,клиника
clinical,клинический
clock,Часы
close,близко
closely,близко
closer,ближе
clothes,одежда
clothing,одежда
cloud,облако
club,клуб
clue,Подсказка
cluster,кластер
coach,тренер
coal,каменный уголь
coalition,коалиция
coast,побережье
coat,Пальто
code,код
coffee,кофе
cognitive,познавательный
cold,холодный
collapse,крах
colleague,коллега
collect,собирать
collection,коллекция
collective,коллектив
college,колледж
colonial,колониальный
color,цвет
column,столбец
combination,комбинация
combine,комбинировать
come,приходить
comedy,комедия
comfort,комфорт
comfortable,комфортный
command,команда
commander,командир
comment,комментарий
commercial,коммерческий
commission,комиссия
commit,совершить
commitment,обязательство
committee,комитет
common,общий
communicate,общаться
communication,коммуникация
community,сообщество
company,Компания
compare,сравнивать
comparison,сравнение
compete,конкурировать
competition,конкуренция
competitive,конкурентоспособный
competitor,конкурентность
complain,жаловаться
complaint,жалоба
complete,полный
completely,полностью
complex,сложный
complicated,сложный
component,компонент
compose,составить
composition,сочинение
comprehensive,всесторонний
computer,компьютерный
concentrate,концентрат
concentration,концентрация
concept,концепция
concern,беспокойство
concerned,обеспокоенный
concert,концерт
conclude,вывод
conclusion,заключение
concrete,конкретный
condition,условие
conduct,провести
conference,конференция
confidence,уверенность
confident,уверенная в себе
confirm,подтверждать
conflict,конфликт
confront,конфронт
confusion,путаница
Congress,Конгресс
congressional,конгресса
connect,соединять
connection,связь
consciousness,сознание
consensus,консенсус
consequence,последствие
conservative,консервативный
consider,рассмотреть возможность
considerable,значительный
consideration,рассмотрение
consist,состоять
consistent,последовательный
constant,постоянный
constantly,постоянно
constitute,составляют
constitutional,конституционный
construct,построить
construction,строительство
consultant,консультант
consume,потреблять
consumer,потребитель
consumption,потребление
contact,контакт
contain,содержать
container,контейнер
contemporary,современный
content,содержание
contest,конкурс
context,контекст
continue,Продолжать
continued,продолжение
contract,договор
contrast,контрастность
contribute,способствовать
contribution,вклад
control,контроль
controversial,спорный
controversy,противоречие
convention,соглашение
conventional,общепринятый
conversation,беседа
convert,конвертировать
conviction,убеждение
convince,убеждать
cook,повар
cookie,печенье
cooking,приготовление еды
cool,прохладно
cooperation,сотрудничество
cop,полицейский
cope,справиться
copy,скопировать
core,основной
corn,кукуруза
corner,угол
corporate,корпоративный
corporation,корпорация
correct,правильный
correspondent,корреспондент
cost,Стоимость
cotton,хлопок
couch,диван
could,мог
council,совет
counselor,консультант
count,считать
counter,прилавок
country,страна
county,округ
couple,пара
courage,храбрость
course,курс
court,корт
cousin,двоюродная сестра
cover,покрытие
coverage,охват
cow,корова
crack,трескаться
craft,ремесло
crash,крушение
crazy,сумасшедший
cream,крем
create,Создайте
creation,творчество
creative,творческий
creature,существо
credit,кредит
crew,экипаж
crime,преступление
criminal,уголовное
crisis,кризис
criteria,критерии
critic,критик
critical,критический
criticism,критика
criticize,критиковать
crop,обрезать
cross,Пересекать
crowd,толпа
crucial,ключевой
cry,крик
cultural,культурность
culture,культура
cup,кружка
curious,любопытный
current,ток
currently,В настоящее время
curriculum,учебный план
custom,обычай
customer,клиент
cut,резать
cycle,цикл
dad,папа
daily,ежедневно
damage,повреждать
dance,танцевать
danger,Опасность
dangerous,опасный
dare,посметь
dark,темный
darkness,тьма
data,данные
date,Дата
daughter,дочь
day,день
dead,мертвых
deal,по рукам
dealer,дилер
dear,дорогая
death,смерть
debate,дебаты
debt,долг
decade,десятилетие
decide,принимать решение
decision,решение
deck,палуба
declare,объявлять
decline,отклонить
decrease,снижаться
deep,глубокий
deeply,глубоко
deer,олень
defeat,поражение
defend,защищать
defendant,подсудимый
defense,защита
defensive,оборонительный
deficit,дефицит
define,определять
definitely,определенно
definition,определение
degree,степень
delay,задерживать
deliver,доставлять
delivery,Доставка
demand,спрос
democracy,демократия
Democrat,Демократ
democratic,демократический
demonstrate,продемонстрировать
demonstration,демонстрация
deny,отказываться от
department,отделение
depend,зависеть
dependent,зависимый от
depending,в зависимости от
depict,изображать
depression,депрессия
depth,глубина
deputy,депутат
derive,выводить
describe,описывать
description,описание
desert,пустыня
deserve,заслуживать
design,дизайн
designer,дизайнер
desire,желание
desk,стол письменный
desperate,отчаянный
despite,несмотря
destroy,разрушать
destruction,разрушение
detail,деталь
detailed,подробно
detect,обнаруживать
determine,определять
develop,развивать
developing,развивающийся
development,разработка
device,устройство
devote,посвящать
dialogue,диалог
die,умереть
diet,рацион питания
differ,различия
difference,разница
different,разные
differently,по-другому
difficult,трудный
difficulty,затруднение
dig,копать
digital,цифровой
dimension,измерение
dining,столовая
dinner,ужин
direct,непосредственный
direction,направление
directly,напрямую
director,директор
dirt,грязь
dirty,грязный
disability,инвалидность
disagree,не соглашаться
disappear,пропадать
disaster,катастрофа
discipline,дисциплина
discourse,дискурс
discover,обнаружить
discovery,открытие
discrimination,дискриминация
discuss,обсуждать
discussion,обсуждение
disease,болезнь
dish,блюдо
dismiss,увольнять
disorder,расстройство
display,отображать
dispute,спор
distance,расстояние
distant,далекий
distinct,отчетливый
distinction,различие
distinguish,различать
distribute,распределять
distribution,распределение
district,округ
diverse,разнообразный
diversity,разнообразие
divide,делить
division,разделение
divorce,развод
DNA,ДНК
do,делать
doctor,доктор
document,документ
dog,собака
domestic,одомашненный
dominant,доминантный
dominate,доминировать
door,дверь
double,двойной
doubt,сомневаться
down,вниз
downtown,в центре города
dozen,дюжина
draft,черновик
drag,тянуть
drama,драма
dramatic,драматический
dramatically,значительно
draw,рисовать
drawing,рисунок
dream,мечтать
dress,одеваться
drink,напиток
drive,водить машину
driver,Водитель
drop,уронить
drug,"препарат, средство, медикамент"
dry,сухой
due,должное
during,в течение
dust,пыль
duty,долг
each,каждый
eager,жаждущий
ear,ухо
early,рано
earn,зарабатывать
earnings,доход
earth,земной шар
ease,простота
easily,без труда
east,Восток
eastern,восточный
easy,легкий
eat,есть
economic,экономический
economics,экономика
economist,экономист
economy,экономика
edge,край
edition,версия
editor,редактор
educate,просвещать
education,образование
educational,образование
educator,преподаватель
effect,эффект
effective,эффективно
effectively,эффективно
efficiency,эффективность
efficient,эффективный
effort,усилие
egg,яйцо
eight,восемь
either,либо
elderly,пожилые люди
elect,избранный
election,выборы
electric,электрический
electricity,электричество
electronic,электронный
element,элемент
elementary,элементарный
eliminate,ликвидировать
elite,элиты
else,еще
elsewhere,в другом месте
e-mail,Эл. почта
embrace,объятие
emerge,появляться
emergency,чрезвычайное происшествие
emission,выброс
emotion,эмоция
emotional,эмоциональный
emphasis,акцент
emphasize,подчеркивать
employ,применять
employee,работник
employer,работодатель
employment,работа
empty,пустой
enable,включить
encounter,сталкиваться
encourage,поощрять
end,конец
enemy,враг
energy,энергия
enforcement,исполнение
engage,привлекать
engine,двигатель
engineer,инженер
engineering,инженер
English,английский
enhance,усиливать
enjoy,наслаждаться
enormous,громадный
enough,достаточно
ensure,гарантировать
enter,войти
enterprise,предприятие
entertainment,развлечение
entire,весь
entirely,полностью
entrance,Вход
entry,Вход
environment,окружающая обстановка
environmental,относящийся к окружающей среде
episode,эпизод
equal,равный
equally,в равной степени
equipment,оборудование
era,эра
error,ошибка
escape,побег
especially,особенно
essay,сочинение
essential,существенный
essentially,по сути
establish,учреждать
establishment,учреждение
estate,имущество
estimate,оценивать
etc,так далее
ethics,этика
ethnic,этнический
European,Европейский
evaluate,оценивать
evaluation,оценка
even,четное
evening,вечер
event,мероприятие
eventually,в конце концов
ever,Когда-либо
every,каждый
everybody,все
everyday,ежедневно
everyone,каждый
everything,все
everywhere,где угодно
evidence,свидетельство
evolution,эволюция
evolve,эволюционировать
exact,точный
exactly,точно
examination,экспертиза
examine,исследовать
example,пример
exceed,превосходить
excellent,превосходно
except,Кроме
exception,исключение
exchange,обмен
exciting,захватывающе
executive,должностное лицо
exercise,упражнение
exhibit,выставка
exhibition,выставка
exist,существует
existence,существование
existing,существующий
expand,расширять
expansion,расширение
expect,ожидать
expectation,ожидание
expense,расход
expensive,дорого
experience,опыт
experiment,эксперимент
expert,эксперт
explain,объяснять
explanation,объяснение
explode,взорваться
explore,проводить исследования
explosion,взрыв
expose,разоблачать
exposure,контакт
express,выражать
expression,выражение
extend,продлевать
extension,расширение
extensive,обширный
extent,степень
external,внешний
extra,дополнительный
extraordinary,необычный
extreme,экстремальный
extremely,очень сильно
eye,глаз
fabric,ткань
face,лицо
facility,средство
fact,факт
factor,фактор
factory,фабрика
faculty,факультет
fade,тускнеть
fail,потерпеть неудачу
failure,отказ
fair,справедливый
fairly,весьма
faith,Вера
fall,Осень
FALSE,ЛОЖНЫЙ
familiar,знакомый
family,семья
famous,известный
fan,вентилятор
fantasy,фантастика
far,далеко
farm,ферма
farmer,фермер
fashion,мода
fast,быстро
fat,толстый
fate,судьба
father,отец
fault,вина
favor,услуга
favorite,любимый
fear,страх
feature,характерная черта
federal,федеральный
fee,платеж
feed,подача
feel,Чувствовать
feeling,чувство
fellow,парень
female,женский
fence,изгородь
few,немного
fewer,меньше
fiber,волокно
fiction,вымысел
field,поле
fifteen,15
fifth,пятый
fifty,пятьдесят
fight,борьба
fighter,истребитель
fighting,боевые действия
figure,фигура
file,файл
fill,наполнять
film,пленка
final,финал
finally,наконец
finance,финансы
financial,финансовый
find,найти
finding,находка
fine,отлично
finger,Палец
finish,финиш
fire,Пожар
firm,фирма
first,первый
fish,рыба
fishing,ловля рыбы
fit,соответствовать
fitness,фитнес
five,пять
fix,исправить
flag,флаг
flame,пламя
flat,плоский
flavor,вкус
flee,бежать
flesh,плоть
flight,полет
float,плавать
floor,пол
flow,поток
flower,цветок
fly,летать
focus,фокус
folk,фольклор
follow,следить
following,следующий
food,еда
foot,ступня
football,футбол
for,для
force,сила
foreign,иностранный
forest,лес
forever,навсегда
forget,забывать
form,форма
formal,формальный
formation,формирование
former,бывший
formula,Формула
forth,вперед
fortune,удача
forward,вперед
found,нашел
foundation,фундамент
founder,основатель
four,четыре
fourth,четвертый
frame,Рамка
framework,фреймворк
free,бесплатно
freedom,Свобода
freeze,заморозить
French,Французский
frequency,частота
frequent,частый
frequently,часто
fresh,свежий
friend,друг
friendly,дружелюбный
friendship,Дружба
from,от
front,передний
fruit,фрукты
frustration,разочарование
fuel,топливо
full,полный
fully,от корки до корки
fun,весело
function,функция
fund,финансировать
fundamental,фундаментальный
funding,финансирование
funeral,похороны
funny,веселая
furniture,мебель
furthermore,более того
future,будущее
gain,усиление
galaxy,галактика
gallery,галерея
game,игра
gang,банда
gap,зазор
garage,гараж
garden,сад
garlic,чеснок
gas,газа
gate,ворота
gather,собирать
gay,гей
gaze,посмотреть
gear,механизм
gender,Пол
gene,ген
general,Общая
generally,в общем
generate,генерация
generation,поколение
genetic,генетический
gentleman,джентльмен
gently,нежно
German,Немецкий
gesture,жест
get,получать
ghost,призрак
giant,гигант
gift,подарок
gifted,одаренный
girl,девочка
girlfriend,любимая девушка
give,дать
given,дано
glad,Рады
glance,взглянуть мельком
glass,стакан
global,Глобальный
glove,перчатка
go,идти
goal,цель
God,Бог
gold,золото
golden,золотистый
golf,гольф
good,хорошо
government,правительство
governor,губернатор
grab,схватить
grade,оценка
gradually,постепенно
graduate,выпускной
grain,зерно
grand,великолепный
grandfather,Дед
grandmother,бабушка
grant,грант
grass,трава
grave,могила
gray,серый
great,отличный
greatest,величайший
green,зеленый
grocery,Бакалея
ground,земля
group,группа
grow,расти
growing,растущий
growth,рост
guarantee,гарантия
guard,сторожить
guess,догадка
guest,гость
guide,гид
guideline,руководство
guilty,виновный
gun,пистолет
guy,парень
habit,привычка
habitat,среда обитания
hair,волосы
half,половина
hall,зал
hand,рука
handful,приспевочный
handle,ручка
hang,вешать
happen,случаться
happy,счастливый
hard,жесткий
hardly,едва
hat,шляпа
hate,ненавидеть
have,имеют
he,он
head,голова
headline,Заголовок
headquarters,главное управление
health,здоровье
healthy,здоровый
hear,слышать
hearing,слушание
heart,сердце
heat,высокая температура
heaven,небеса
heavily,тяжело
heavy,тяжелый
heel,каблука
height,высота
helicopter,вертолет
hell,ад
hello,Привет
help,помощь
helpful,полезный
her,ее
here,здесь
heritage,наследство
hero,герой
herself,саму себя
hey,Привет
hi,Привет
hide,Спрятать
high,высоко
highlight,выделять
highly,очень
highway,шоссе
hill,холм
him,ему
himself,сам
hip,бедро
hire,Наем
his,его
historian,историк
historic,исторический
historical,исторический
history,история
hit,удар
hold,держать
hole,дыра
holiday,праздничный день
holy,святой
home,дома
homeless,бездомный
honest,честный
honey,медовый
honor,честь
hope,надеяться
horizon,горизонт
horror,ужастик
horse,лошадь
hospital,больница
host,хозяин
hot,горячий
hotel,отель
hour,час
house,жилой дом
household,семья
housing,Корпус
how,как
however,Однако
huge,огромный
human,человек
humor,юмор
hundred,сотни
hungry,голодный
hunter,охотник
hunting,охота
hurt,причинить боль
husband,муж
hypothesis,гипотеза
I,я
ice,лед
idea,идея
ideal,идеал
identification,удостоверение личности
identify,идентифицировать
identity,личность
ie,т.е.
if,если
ignore,игнорировать
ill,больной
illegal,незаконно
illness,болезнь
illustrate,иллюстрировать
image,изображение
imagination,воображение
imagine,представлять себе
immediate,немедленный
immediately,немедленно
immigrant,иммигрант
immigration,иммиграция
impact,влияние
implement,воплощать в жизнь
implication,подразумевание
imply,подразумевать
importance,важность
important,важный
impose,навязывать
impossible,невозможный
impress,впечатление
impression,впечатление
impressive,впечатляющий
improve,улучшать
improvement,улучшение
in,в
incentive,стимул
incident,инцидент
include,включать
including,включая
income,доход
incorporate,включать в себя
increase,увеличивать
increased,повысился
increasing,увеличение
increasingly,всё
incredible,невероятный
indeed,конечно
independence,независимость
independent,независимый
index,показатель
Indian,Индийский
indicate,указывать
indication,индикация
individual,индивидуальный
industrial,индустриальный
industry,промышленность
infant,младенца
infection,инфекционное заболевание
inflation,инфляция
influence,влияние
inform,поставить в известность
information,Информация
ingredient,ингредиент
initial,исходный
initially,изначально
initiative,инициатива
injury,"травма, повреждение"
inner,внутренний
innocent,невиновный
inquiry,расследование
inside,внутри
insight,на виду
insist,настаивать
inspire,вдохновлять
install,установить
instance,пример
instead,вместо
institution,институт
institutional,институциональный
instruction,инструкция
instructor,инструктор
instrument,инструмент
insurance,страхование
intellectual,интеллектуал
intelligence,интеллект
intend,намереваться
intense,интенсивный
intensity,интенсивность
intention,намерение
interaction,взаимодействие
interest,интерес
interested,заинтересовать
interesting,интересно
internal,внутренний
international,Международный
Internet,Интернет
interpret,интерпретировать
interpretation,интерпретация
intervention,вмешательство
interview,опрос
into,в
introduce,представлять
introduction,введение
invasion,вторжение
invest,вкладывать деньги
investigate,расследовать
investigation,изучение
investigator,следователь
investment,инвестиции
investor,инвестор
invite,приглашать
involve,вовлекать
involved,вовлеченный
involvement,участие
Iraqi,Ирак
Irish,Ирландский
iron,железо
Islamic,Исламский
island,остров
Israeli,Израильский
issue,проблема
it,Это
Italian,Итальянский
item,пункт
its,это
itself,сам
jacket,куртка
jail,тюрьма
Japanese,японский язык
jet,самолет
Jew,Еврей
Jewish,Еврейский
job,работа
join,присоединиться
joint,соединение
joke,шутить
journal,журнал
journalist,журналистка
journey,путешествие
joy,радость
judge,судить
judgment,суждение
juice,сок
jump,Прыгать
junior,младший
jury,жюри
just,только что
justice,справедливость
justify,оправдывать
keep,держать
key,ключ
kick,пинать
kid,дитя
kill,убийство
killer,убийца
killing,убийство
kind,Добрый
king,король
kiss,целовать
kitchen,кухня
knee,колено
knife,нож
knock,постучать
know,знать
knowledge,знание
lab,лаборатория
label,этикетка
labor,"труд, работа"
laboratory,лаборатория
lack,недостаток
lady,леди
lake,озеро
land,земля
landscape,пейзаж
language,язык
lap,колени
large,большой
largely,во многом
last,прошлой
late,поздно
later,позже
Latin,латинский
latter,последний
laugh,смех
launch,запуск
law,закон
lawn,лужайка
lawsuit,иск
lawyer,юрист
lay,класть
layer,слой
lead,Свинец
leader,лидер
leadership,лидерство
leading,ведущий
leaf,лист
league,лига
lean,наклонять
learn,учить
learning,учусь
least,наименее
leather,натуральная кожа
leave,покинуть
left,осталось
leg,нога
legacy,наследие
legal,юридический
legend,легенда
legislation,законодательство
legitimate,легитим
lemon,лимон
length,длина
less,меньше
lesson,урок
let,позволять
letter,письмо
level,уровень
liberal,либеральный
library,библиотека
license,лицензия
lie,ложь
life,жизнь
lifestyle,Стиль жизни
lifetime,продолжительность жизни
lift,поднимать
light,свет
like,подобно
likely,скорее всего
limit,предел
limitation,ограничение
limited,ограниченное
line,линия
link,связь
lip,губа
list,список
listen,Слушать
literally,буквально
literary,литературный
literature,литература
little,маленький
live,жить
living,жизнь
load,нагрузка
loan,заем
local,местный
locate,находка
location,место нахождения
lock,замок
long,длинная
long-term,долгосрочный
look,Смотреть
loose,свободный
lose,терять
loss,потеря
lost,потерянный
lot,много
lots,много
loud,громко
love,любовь
lovely,прекрасный
lover,возлюбленный
low,низкий
lower,ниже
luck,удача
lucky,везучий
lunch,обед
lung,легкое
machine,машина
mad,без ума
magazine,журнал
mail,Почта
main,основной
mainly,в основном
maintain,поддерживать
maintenance,Обслуживание
major,главный
majority,большинство
make,сделать
maker,производителя
makeup,"макияж, мириться"
male,мужчина
mall,торговый центр
man,человек
manage,управлять
management,управление
manager,управляющий делами
manner,манера
manufacturer,производителя
manufacturing,производство
many,много
map,карта
margin,поле
mark,отметка
market,рынок
marketing,маркетинг
marriage,брак
married,женат замужем
marry,выходит замуж
mask,маска
mass,масса
massive,массивный
master,владелец
match,соответствовать
material,материал
math,математика
matter,иметь значение
may,мая
maybe,может быть
mayor,мэр
me,меня
meal,еда
mean,иметь в виду
meaning,имея в виду
meanwhile,тем временем
measure,мера
measurement,измерение
meat,мясо
mechanism,механизм
media,СМИ
medical,медицинский
medication,медикамент
medicine,медицина
medium,Средняя
meet,встретить
meeting,встреча
member,член
membership,членство
memory,Память
mental,ментальный
mention,упомянуть
menu,меню
mere,простой
merely,просто
mess,беспорядок
message,сообщение
metal,металл
meter,метр
method,метод
Mexican,Мексиканский
middle,середина
might,мощь
military,военный
milk,молоко
million,миллион
mind,разум
mine,мой
minister,министр
minor,незначительный
minority,меньшинство
minute,минута
miracle,чудо
mirror,зеркало
miss,Мисс
missile,ракета
mission,миссия
mistake,ошибка
mix,смешивание
mixture,смесь
mm-hmm,мм-хм.
mode,Режим
model,модель
moderate,умеренный
modern,современный
modest,скромный
mom,Мама
moment,момент
money,Деньги
monitor,мониторинг
month,месяц
mood,настроение
moon,Луна
moral,мораль
more,более
moreover,Кроме того
morning,утро
mortgage,ипотека
most,наиболее
mostly,в основном
mother,мама
motion,движение
motivation,мотивация
motor,мотор
mount,устанавливать
mountain,гора
mouse,мышь
mouth,рот
move,переехать
movement,движение
movie,фильм
Mr,г-н
Mrs,Миссис
Ms,РС
much,много
multiple,несколько
murder,убийство
muscle,мышцы
museum,музей
music,Музыка
musical,мюзикл
musician,музыкант
Muslim,Мусульманин
must,должен
mutual,взаимный
my,мой
myself,себя
mystery,тайна
myth,миф
naked,голый
name,имя
narrative,повествование
narrow,узкий
nation,нация
national,национальный
native,родной
natural,естественный
naturally,естественно
nature,природа
near,около
nearby,"рядом, поблизости"
nearly,Около
necessarily,обязательно
necessary,необходимо
neck,шея
need,нужно
negative,отрицательный
negotiate,вести переговоры
negotiation,Переговоры
neighbor,сосед
neighborhood,район
neither,ни один
nerve,нервность
nervous,нервный
net,сеть
network,сеть
never,никогда
nevertheless,тем не менее
new,новый
newly,вновь
news,Новости
newspaper,газета
next,следующий
nice,Приятно
night,ночь
nine,9
no,нет
nobody,никто
nod,кивать головой
noise,шум
nomination,номинация
none,никто
nonetheless,тем не менее
nor,ни
normal,обычный
normally,как обычно
north,север
northern,северный
nose,нос
not,нет
note,Примечание
nothing,ничего
notice,уведомление
notion,понятие
novel,Роман
now,сейчас
nowhere,нигде
n't,не
nuclear,ядерный
number,количество
numerous,многочисленный
nurse,медсестра
nut,орех
object,объект
objective,цель
obligation,обязательство
observation,наблюдение
observe,наблюдать
observer,наблюдатель
obtain,получать
obvious,очевидный
obviously,очевидно
occasion,случай
occasionally,иногда
occupation,Занятие
occupy,заниматься
occur,происходить
ocean,океан
odd,странный
odds,шансы
of,из
off,выключенный
offense,преступление
offensive,наступление
offer,предложение
office,офис
officer,офицер
official,официальный
often,довольно часто
oh,ой
oil,масло
ok,Ok
okay,хорошо
old,Старый
Olympic,Олимпийский
on,на
once,однажды
one,один
ongoing,непрерывный
onion,лук
online,онлайн
only,Только
onto,на
open,открытым
opening,открытие
operate,действовать
operating,работа
operation,эксплуатация
operator,оператор
opinion,мнение
opponent,противник
opportunity,возможность
oppose,выступать
opposite,противоположный
opposition,оппозиция
option,вариант
or,или
orange,апельсин
order,заказ
ordinary,обычный
organic,органический
organization,Организация
