,English,Russian
204,attorney,адвокат
205,attract,привлекать
206,attractive,привлекательный
207,attribute,атрибут
208,audience,аудитория
209,author,автор
210,authority,власть
211,auto,авто
212,available,доступный
213,average,средний
214,avoid,избегать
215,award,награда
216,aware,осведомленный
217,awareness,осведомленность
218,away,прочь
219,awful,ужасный
220,baby,детка
221,back,назад
222,background,задний план
223,bad,плохой
224,badly,плохо
225,bag,мешок
226,bake,выпекать
227,balance,остаток средств
228,ball,мяч
229,ban,запрет
230,band,группа
231,bank,банк
232,bar,бар
233,barely,едва
234,barrel,бочонок
235,barrier,барьер
236,base,основание
237,baseball,бейсбол
238,basic,базовый
239,basically,в принципе
240,basis,основа
241,basket,корзина
242,basketball,баскетбол
243,bathroom,ванная комната
244,battery,батареи
245,battle,боевой
246,be,быть
247,beach,пляж
248,bean,боб
249,bear,медведь
250,beat,бить
251,beautiful,Прекрасный
252,beauty,Красота
253,because,потому что
254,become,стали
255,bed,кровать
256,bedroom,спальная комната
257,beer,пиво
258,before,до
259,begin,начинать
260,beginning,начало
261,behavior,поведение
262,behind,позади
263,being,существование
264,belief,вера
265,believe,полагать
266,bell,колокольчик
267,belong,принадлежать
268,below,ниже
269,belt,пояс
270,bench,скамья
271,bend,сгибать
272,beneath,под
273,benefit,выгода
274,beside,рядом
275,besides,Помимо
276,best,Лучший
277,bet,держать пари
278,better,лучше
279,between,между
280,beyond,вне
281,Bible,Библия
282,big,большой
283,bike,велосипед
284,bill,законопроект
285,billion,миллиард
286,bind,связывать
287,biological,биологический
288,bird,птица
289,birth,рождение
290,birthday,день рождения
291,bit,кусочек
292,bite,кусать
293,black,чернить
294,blade,лезвие
295,blame,обвинять
296,blanket,одеяло
297,blind,слепой
298,block,блокировать
299,blood,кровь
300,blow,дуть
301,blue,синий
302,board,доска
303,boat,лодка
304,body,тело
305,bomb,бомбить
306,bombing,бомбардировка
307,bond,связь
308,bone,кость
309,book,книга
310,boom,бум
311,boot,ботинок
312,border,граница
313,born,Родился
314,borrow,занимать
315,boss,босс
316,both,обе
317,bother,беспокоить
318,bottle,бутылка
319,bottom,Нижний
320,boundary,граница
321,bowl,чаша
322,box,коробка
323,boy,мальчик
324,boyfriend,парень
325,brain,мозг
326,branch,ветвь
327,brand,марка
328,bread,хлеб
329,break,перерыв
330,breakfast,завтрак
331,breast,грудь
332,breath,дыхание
333,breathe,дышать
334,brick,кирпич
335,bridge,мост
336,brief,краткий
337,briefly,кратко
338,bright,яркий
339,brilliant,блестящий
340,bring,приносить
341,British,Британский
342,broad,широкий
343,broken,сломанный
344,brother,родной брат
345,brown,коричневый
346,brush,щетка
347,buck,бак
348,budget,бюджет
349,build,строить
350,building,строительство
351,bullet,пуля
352,bunch,связка
353,burden,груз
354,burn,гореть
355,bury,хоронить
356,bus,автобус
357,business,бизнес
358,busy,занятый
359,but,но
360,butter,масло
361,button,кнопка
362,buy,купить
363,buyer,покупатель
364,by,к
365,cabin,салон самолета
366,cabinet,кабинет
367,cable,кабель
368,calculate,рассчитать
369,call,вызов
370,camera,камера
371,camp,лагерь
372,campaign,кампания
373,campus,кампус
374,can,могу
375,Canadian,Канадский
376,cancer,рак
377,candidate,кандидат
378,cap,шапка
379,capability,способность
380,capable,способный
381,capacity,емкость
382,capital,столица
383,captain,капитан
384,capture,захватывать
385,car,машина
386,carbon,углерод
387,card,карта
388,care,уход
389,career,карьера
390,careful,осторожный
391,carefully,осторожно
392,carrier,перевозчик
393,carry,нести
394,case,кейс
395,cash,денежные средства
396,cast,В ролях
397,cat,Кот
398,catch,ловить
399,category,категория
400,Catholic,Католический
401,cause,причина
402,ceiling,потолок
403,celebrate,праздновать
404,celebration,празднование
405,celebrity,знаменитость
406,cell,клетка
407,center,центр
408,central,центральный
409,century,век
410,CEO,Исполнительный директор
411,ceremony,церемония
412,certain,определенный
413,certainly,безусловно
414,chain,цепь
415,chair,стул
416,chairman,председатель
417,challenge,испытание
418,chamber,камера
419,champion,чемпион
420,championship,чемпионат
421,chance,шанс
422,change,изменять
423,changing,изменение
424,channel,канал
425,chapter,глава
426,character,персонаж
427,characteristic,характеристика
428,characterize,характеризовать
429,charge,заряжать
430,charity,благотворительность
431,chart,Диаграмма
432,chase,гнаться
433,cheap,дешевый
434,check,чек об оплате
435,cheek,щек
436,cheese,сыр
437,chef,шеф-повар
438,chemical,химический
439,chest,грудь
440,chicken,курица
441,chief,главный
442,child,ребенок
443,childhood,детство
444,Chinese,китайский язык
445,chip,чип
446,chocolate,шоколад
447,choice,выбор
448,cholesterol,холестерин
449,choose,выберите
450,Christian,Христианин
451,Christmas,Рождество
452,church,церковь
453,cigarette,сигарета
454,circle,круг
455,circumstance,обстоятельство
456,cite,cite
457,citizen,гражданин
458,city,город
459,civil,гражданское хозяйство
460,civilian,гражданский
461,claim,требовать
462,class,сорт
463,classic,классика
464,classroom,школьный класс
465,clean,чистый
466,clear,Чисто
467,clearly,четко
468,client,клиент
469,climate,климат
470,climb,взбираться
471,clinic,клиника
472,clinical,клинический
473,clock,Часы
474,close,близко
475,closely,близко
476,closer,ближе
477,clothes,одежда
478,clothing,одежда
479,cloud,облако
480,club,клуб
481,clue,Подсказка
482,cluster,кластер
483,coach,тренер
484,coal,каменный уголь
485,coalition,коалиция
486,coast,побережье
487,coat,Пальто
488,code,код
489,coffee,кофе
490,cognitive,познавательный
491,cold,холодный
492,collapse,крах
493,colleague,коллега
494,collect,собирать
495,collection,коллекция
496,collective,коллектив
497,college,колледж
498,colonial,колониальный
499,color,цвет
500,column,столбец
501,combination,комбинация
502,combine,комбинировать
503,come,приходить
504,comedy,комедия
505,comfort,комфорт
506,comfortable,комфортный
507,command,команда
508,commander,командир
509,comment,комментарий
510,commercial,коммерческий
511,commission,комиссия
512,commit,совершить
513,commitment,обязательство
514,committee,комитет
515,common,общий
516,communicate,общаться
517,communication,коммуникация
518,community,сообщество
519,company,Компания
520,compare,сравнивать
521,comparison,сравнение
522,compete,конкурировать
523,competition,конкуренция
524,competitive,конкурентоспособный
525,competitor,конкурентность
526,complain,жаловаться
527,complaint,жалоба
528,complete,полный
529,completely,полностью
530,complex,сложный
531,complicated,сложный
532,component,компонент
533,compose,составить
534,composition,сочинение
535,comprehensive,всесторонний
536,computer,компьютерный
537,concentrate,концентрат
538,concentration,концентрация
539,concept,концепция
540,concern,беспокойство
541,concerned,обеспокоенный
542,concert,концерт
543,conclude,вывод
544,conclusion,заключение
545,concrete,конкретный
546,condition,условие
547,conduct,провести
548,conference,конференция
549,confidence,уверенность
550,confident,уверенная в себе
551,confirm,подтверждать
552,conflict,конфликт
553,confront,конфронт
554,confusion,путаница
555,Congress,Конгресс
556,congressional,конгресса
557,connect,соединять
558,connection,связь
559,consciousness,сознание
560,consensus,консенсус
561,consequence,последствие
562,conservative,консервативный
563,consider,рассмотреть возможность
564,considerable,значительный
565,consideration,рассмотрение
566,consist,состоять
567,consistent,последовательный
568,constant,постоянный
569,constantly,постоянно
570,constitute,составляют
571,constitutional,конституционный
572,construct,построить
573,construction,строительство
574,consultant,консультант
575,consume,потреблять
576,consumer,потребитель
577,consumption,потребление
578,contact,контакт
579,contain,содержать
580,container,контейнер
581,contemporary,современный
582,content,содержание
583,contest,конкурс
584,context,контекст
585,continue,Продолжать
586,continued,продолжение
587,contract,договор
588,contrast,контрастность
589,contribute,способствовать
590,contribution,вклад
591,control,контроль
592,controversial,спорный
593,controversy,противоречие
594,convention,соглашение
595,conventional,общепринятый
596,conversation,беседа
597,convert,конвертировать
598,conviction,убеждение
599,convince,убеждать
600,cook,повар
601,cookie,печенье
602,cooking,приготовление еды
603,cool,прохладно
604,cooperation,сотрудничество
605,cop,полицейский
606,cope,справиться
607,copy,скопировать
608,core,основной
609,corn,кукуруза
610,corner,угол
611,corporate,корпоративный
612,corporation,корпорация
613,correct,правильный
614,correspondent,корреспондент
615,cost,Стоимость
616,cotton,хлопок
617,couch,диван
618,could,мог
619,council,совет
620,counselor,консультант
621,count,считать
622,counter,прилавок
623,country,страна
624,county,округ
625,couple,пара
626,courage,храбрость
627,course,курс
628,court,корт
629,cousin,двоюродная сестра
630,cover,покрытие
631,coverage,охват
632,cow,корова
633,crack,трескаться
634,craft,ремесло
635,crash,крушение
636,crazy,сумасшедший
637,cream,крем
638,create,Создайте
639,creation,творчество
640,creative,творческий
641,creature,существо
642,credit,кредит
643,crew,экипаж
644,crime,преступление
645,criminal,уголовное
646,crisis,кризис
647,criteria,критерии
648,critic,критик
649,critical,критический
650,criticism,критика
651,criticize,критиковать
652,crop,обрезать
653,cross,Пересекать
654,crowd,толпа
655,crucial,ключевой
656,cry,крик
657,cultural,культурность
658,culture,культура
659,cup,кружка
660,curious,любопытный
661,current,ток
662,currently,В настоящее время
663,curriculum,учебный план
664,custom,обычай
665,customer,клиент
666,cut,резать
667,cycle,цикл
668,dad,папа
669,daily,ежедневно
670,damage,повреждать
671,dance,танцевать
672,danger,Опасность
673,dangerous,опасный
674,dare,посметь
675,dark,темный
676,darkness,тьма
677,data,данные
678,date,Дата
679,daughter,дочь
680,day,день
681,dead,мертвых
682,deal,по рукам
683,dealer,дилер
684,dear,дорогая
685,death,смерть
686,debate,дебаты
687,debt,долг
688,decade,десятилетие
689,decide,принимать решение
690,decision,решение
691,deck,палуба
692,declare,объявлять
693,decline,отклонить
694,decrease,снижаться
695,deep,глубокий
696,deeply,глубоко
697,deer,олень
698,defeat,поражение
699,defend,защищать
700,defendant,подсудимый
701,defense,защита
702,defensive,оборонительный
703,deficit,дефицит
704,define,определять
705,definitely,определенно
706,definition,определение
707,degree,степень
708,delay,задерживать
709,deliver,доставлять
710,delivery,Доставка
711,demand,спрос
712,democracy,демократия
713,Democrat,Демократ
714,democratic,демократический
715,demonstrate,продемонстрировать
716,demonstration,демонстрация
717,deny,отказываться от
718,department,отделение
719,depend,зависеть
720,dependent,зависимый от
721,depending,в зависимости от
722,depict,изображать
723,depression,депрессия
724,depth,глубина
725,deputy,депутат
726,derive,выводить
727,describe,описывать
728,description,описание
729,desert,пустыня
730,deserve,заслуживать
731,design,дизайн
732,designer,дизайнер
733,desire,желание
734,desk,стол письменный
735,desperate,отчаянный
736,despite,несмотря
737,destroy,разрушать
738,destruction,разрушение
739,detail,деталь
740,detailed,подробно
741,detect,обнаруживать
742,determine,определять
743,develop,развивать
744,developing,развивающийся
745,development,разработка
746,device,устройство
747,devote,посвящать
748,dialogue,диалог
749,die,умереть
750,diet,рацион питания
751,differ,различия
752,difference,разница
753,different,разные
754,differently,по-другому
755,difficult,трудный
756,difficulty,затруднение
757,dig,копать
758,digital,цифровой
759,dimension,измерение
760,dining,столовая
761,dinner,ужин
762,direct,непосредственный
763,direction,направление
764,directly,напрямую
765,director,директор
766,dirt,грязь
767,dirty,грязный
768,disability,инвалидность
769,disagree,не соглашаться
770,disappear,пропадать
771,disaster,катастрофа
772,discipline,дисциплина
773,discourse,дискурс
774,discover,обнаружить
775,discovery,открытие
776,discrimination,дискриминация
777,discuss,обсуждать
778,discussion,обсуждение
779,disease,болезнь
780,dish,блюдо
781,dismiss,увольнять
782,disorder,расстройство
783,display,отображать
784,dispute,спор
785,distance,расстояние
786,distant,далекий
787,distinct,отчетливый
788,distinction,различие
789,distinguish,различать
790,distribute,распределять
791,distribution,распределение
792,district,округ
793,diverse,разнообразный
794,diversity,разнообразие
795,divide,делить
796,division,разделение
797,divorce,развод
798,DNA,ДНК
799,do,делать
800,doctor,доктор
801,document,документ
802,dog,собака
803,domestic,одомашненный
804,dominant,доминантный
805,dominate,доминировать
806,door,дверь
807,double,двойной
808,doubt,сомневаться
809,down,вниз
810,downtown,в центре города
811,dozen,дюжина
812,draft,черновик
813,drag,тянуть
814,drama,драма
815,dramatic,драматический
816,dramatically,значительно
817,draw,рисовать
818,drawing,рисунок
819,dream,мечтать
820,dress,одеваться
821,drink,напиток
822,drive,водить машину
823,driver,Водитель
824,drop,уронить
825,drug,"препарат, средство, медикамент"
826,dry,сухой
827,due,должное
828,during,в течение
829,dust,пыль
830,duty,долг
831,each,каждый
832,eager,жаждущий
833,ear,ухо
834,early,рано
835,earn,зарабатывать
836,earnings,доход
837,earth,земной шар
838,ease,простота
839,easily,без труда
840,east,Восток
841,eastern,восточный
842,easy,легкий
843,eat,есть
844,economic,экономический
845,economics,экономика
846,economist,экономист
847,economy,экономика
848,edge,край
849,edition,версия
850,editor,редактор
851,educate,просвещать
852,education,образование
853,educational,образование
854,educator,преподаватель
855,effect,эффект
856,effective,эффективно
857,effectively,эффективно
858,efficiency,эффективность
859,efficient,эффективный
860,effort,усилие
861,egg,яйцо
862,eight,восемь
863,either,либо
864,elderly,пожилые люди
865,elect,избранный
866,election,выборы
867,electric,электрический
868,electricity,электричество
869,electronic,электронный
870,element,элемент
871,elementary,элементарный
872,eliminate,ликвидировать
873,elite,элиты
874,else,еще
875,elsewhere,в другом месте
876,e-mail,Эл. почта
877,embrace,объятие
878,emerge,появляться
879,emergency,чрезвычайное происшествие
880,emission,выброс
881,emotion,эмоция
882,emotional,эмоциональный
883,emphasis,акцент
884,emphasize,подчеркивать
885,employ,применять
886,employee,работник
887,employer,работодатель
888,employment,работа
889,empty,пустой
890,enable,включить
891,encounter,сталкиваться
892,encourage,поощрять
893,end,конец
894,enemy,враг
895,energy,энергия
896,enforcement,исполнение
897,engage,привлекать
898,engine,двигатель
899,engineer,инженер
900,engineering,инженер
901,English,английский
902,enhance,усиливать
903,enjoy,наслаждаться
904,enormous,громадный
905,enough,достаточно
906,ensure,гарантировать
907,enter,войти
908,enterprise,предприятие
909,entertainment,развлечение
910,entire,весь
911,entirely,полностью
912,entrance,Вход
913,entry,Вход
914,environment,окружающая обстановка
915,environmental,относящийся к окружающей среде
916,episode,эпизод
917,equal,равный
918,equally,в равной степени
919,equipment,оборудование
920,era,эра
921,error,ошибка
922,escape,побег
923,especially,особенно
924,essay,сочинение
925,essential,существенный
926,essentially,по сути
927,establish,учреждать
928,establishment,учреждение
929,estate,имущество
930,estimate,оценивать
931,etc,так далее
932,ethics,этика
933,ethnic,этнический
934,European,Европейский
935,evaluate,оценивать
936,evaluation,оценка
937,even,четное
938,evening,вечер
939,event,мероприятие
940,eventually,в конце концов
941,ever,Когда-либо
942,every,каждый
943,everybody,все
944,everyday,ежедневно
945,everyone,каждый
946,everything,все
947,everywhere,где угодно
948,evidence,свидетельство
949,evolution,эволюция
950,evolve,эволюционировать
951,exact,точный
952,exactly,точно
953,examination,экспертиза
954,examine,исследовать
955,example,пример
956,exceed,превосходить
957,excellent,превосходно
958,except,Кроме
959,exception,исключение
960,exchange,обмен
961,exciting,захватывающе
962,executive,должностное лицо
963,exercise,упражнение
964,exhibit,выставка
965,exhibition,выставка
966,exist,существует
967,existence,существование
968,existing,существующий
969,expand,расширять
970,expansion,расширение
971,expect,ожидать
972,expectation,ожидание
973,expense,расход
974,expensive,дорого
975,experience,опыт
976,experiment,эксперимент
977,expert,эксперт
978,explain,объяснять
979,explanation,объяснение
980,explode,взорваться
981,explore,проводить исследования
982,explosion,взрыв
983,expose,разоблачать
984,exposure,контакт
985,express,выражать
986,expression,выражение
987,extend,продлевать
988,extension,расширение
989,extensive,обширный
990,extent,степень
991,external,внешний
992,extra,дополнительный
993,extraordinary,необычный
994,extreme,экстремальный
995,extremely,очень сильно
996,eye,глаз
997,fabric,ткань
998,face,лицо
999,facility,средство
1000,fact,факт
1001,factor,фактор
1002,factory,фабрика
1003,faculty,факультет
1004,fade,тускнеть
1005,fail,потерпеть неудачу
1006,failure,отказ
1007,fair,справедливый
1008,fairly,весьма
1009,faith,Вера
1010,fall,Осень
1011,FALSE,ЛОЖНЫЙ
1012,familiar,знакомый
1013,family,семья
1014,famous,известный
1015,fan,вентилятор
1016,fantasy,фантастика
1017,far,далеко
1018,farm,ферма
1019,farmer,фермер
1020,fashion,мода
1021,fast,быстро
1022,fat,толстый
1023,fate,судьба
1024,father,отец
1025,fault,вина
1026,favor,услуга
1027,favorite,любимый
1028,fear,страх
1029,feature,характерная черта
1030,federal,федеральный
1031,fee,платеж
1032,feed,подача
1033,feel,Чувствовать
1034,feeling,чувство
1035,fellow,парень
1036,female,женский
1037,fence,изгородь
1038,few,немного
1039,fewer,меньше
1040,fiber,волокно
1041,fiction,вымысел
1042,field,поле
1043,fifteen,15
1044,fifth,пятый
1045,fifty,пятьдесят
1046,fight,борьба
1047,fighter,истребитель
1048,fighting,боевые действия
1049,figure,фигура
1050,file,файл
1051,fill,наполнять
1052,film,пленка
1053,final,финал
1054,finally,наконец
1055,finance,финансы
1056,financial,финансовый
1057,find,найти
1058,finding,находка
1059,fine,отлично
1060,finger,Палец
1061,finish,финиш
1062,fire,Пожар
1063,firm,фирма
1064,first,первый
1065,fish,рыба
1066,fishing,ловля рыбы
1067,fit,соответствовать
1068,fitness,фитнес
1069,five,пять
1070,fix,исправить
1071,flag,флаг
1072,flame,пламя
1073,flat,плоский
1074,flavor,вкус
1075,flee,бежать
1076,flesh,плоть
1077,flight,полет
1078,float,плавать
1079,floor,пол
1080,flow,поток
1081,flower,цветок
1082,fly,летать
1083,focus,фокус
1084,folk,фольклор
1085,follow,следить
1086,following,следующий
1087,food,еда
1088,foot,ступня
1089,football,футбол
1090,for,для
1091,force,сила
1092,foreign,иностранный
1093,forest,лес
1094,forever,навсегда
1095,forget,забывать
1096,form,форма
1097,formal,формальный
1098,formation,формирование
1099,former,бывший
1100,formula,Формула
1101,forth,вперед
1102,fortune,удача
1103,forward,вперед
1104,found,нашел
1105,foundation,фундамент
1106,founder,основатель
1107,four,четыре
1108,fourth,четвертый
1109,frame,Рамка
1110,framework,фреймворк
1111,free,бесплатно
1112,freedom,Свобода
1113,freeze,заморозить
1114,French,Французский
1115,frequency,частота
1116,frequent,частый
1117,frequently,часто
1118,fresh,свежий
1119,friend,друг
1120,friendly,дружелюбный
1121,friendship,Дружба
1122,from,от
1123,front,передний
1124,fruit,фрукты
1125,frustration,разочарование
1126,fuel,топливо
1127,full,полный
1128,fully,от корки до корки
1129,fun,весело
1130,function,функция
1131,fund,финансировать
1132,fundamental,фундаментальный
1133,funding,финансирование
1134,funeral,похороны
1135,funny,веселая
1136,furniture,мебель
1137,furthermore,более того
1138,future,будущее
1139,gain,усиление
1140,galaxy,галактика
1141,gallery,галерея
1142,game,игра
1143,gang,банда
1144,gap,зазор
1145,garage,гараж
1146,garden,сад
1147,garlic,чеснок
1148,gas,газа
1149,gate,ворота
1150,gather,собирать
1151,gay,гей
1152,gaze,посмотреть
1153,gear,механизм
1154,gender,Пол
1155,gene,ген
1156,general,Общая
1157,generally,в общем
1158,generate,генерация
1159,generation,поколение
1160,genetic,генетический
1161,gentleman,джентльмен
1162,gently,нежно
1163,German,Немецкий
1164,gesture,жест
1165,get,получать
1166,ghost,призрак
1167,giant,гигант
1168,gift,подарок
1169,gifted,одаренный
1170,girl,девочка
1171,girlfriend,любимая девушка
1172,give,дать
1173,given,дано
1174,glad,Рады
1175,glance,взглянуть мельком
1176,glass,стакан
1177,global,Глобальный
1178,glove,перчатка
1179,go,идти
1180,goal,цель
1181,God,Бог
1182,gold,золото
1183,golden,золотистый
1184,golf,гольф
1185,good,хорошо
1186,government,правительство
1187,governor,губернатор
1188,grab,схватить
1189,grade,оценка
1190,gradually,постепенно
1191,graduate,выпускной
1192,grain,зерно
1193,grand,великолепный
1194,grandfather,Дед
1195,grandmother,бабушка
1196,grant,грант
1197,grass,трава
1198,grave,могила
1199,gray,серый
1200,great,отличный
1201,greatest,величайший
1202,green,зеленый
1203,grocery,Бакалея
1204,ground,земля
1205,grow,расти
1206,growing,растущий
1207,growth,рост
1208,guarantee,гарантия
1209,guard,сторожить
1210,guess,догадка
1211,guest,гость
1212,guide,гид
1213,guideline,руководство
1214,guilty,виновный
1215,gun,пистолет
1216,guy,парень
1217,habit,привычка
1218,habitat,среда обитания
1219,hair,волосы
1220,half,половина
1221,hall,зал
1222,hand,рука
1223,handful,приспевочный
1224,handle,ручка
1225,hang,вешать
1226,happen,случаться
1227,happy,счастливый
1228,hard,жесткий
1229,hardly,едва
1230,hat,шляпа
1231,hate,ненавидеть
1232,have,имеют
1233,he,он
1234,head,голова
1235,headline,Заголовок
1236,headquarters,главное управление
1237,health,здоровье
1238,healthy,здоровый
1239,hear,слышать
1240,hearing,слушание
1241,heart,сердце
1242,heat,высокая температура
1243,heaven,небеса
1244,heavily,тяжело
1245,heavy,тяжелый
1246,heel,каблука
1247,height,высота
1248,helicopter,вертолет
1249,hell,ад
1250,hello,Привет
1251,help,помощь
1252,helpful,полезный
1253,her,ее
1254,here,здесь
1255,heritage,наследство
1256,hero,герой
1257,herself,саму себя
1258,hey,Привет
1259,hi,Привет
1260,hide,Спрятать
1261,high,высоко
1262,highlight,выделять
1263,highly,очень
1264,highway,шоссе
1265,hill,холм
1266,him,ему
1267,himself,сам
1268,hip,бедро
1269,hire,Наем
1270,his,его
1271,historian,историк
1272,historic,исторический
1273,historical,исторический
1274,history,история
1275,hit,удар
1276,hold,держать
1277,hole,дыра
1278,holiday,праздничный день
1279,holy,святой
1280,home,дома
1281,homeless,бездомный
1282,honest,честный
1283,honey,медовый
1284,honor,честь
1285,hope,надеяться
1286,horizon,горизонт
1287,horror,ужастик
1288,horse,лошадь
1289,hospital,больница
1290,host,хозяин
1291,hot,горячий
1292,hotel,отель
1293,hour,час
1294,house,жилой дом
1295,household,семья
1296,housing,Корпус
1297,how,как
1298,however,Однако
1299,huge,огромный
1300,human,человек
1301,humor,юмор
1302,hundred,сотни
1303,hungry,голодный
1304,hunter,охотник
1305,hunting,охота
1306,hurt,причинить боль
1307,husband,муж
1308,hypothesis,гипотеза
1309,I,я
1310,ice,лед
1311,idea,идея
1312,ideal,идеал
1313,identification,удостоверение личности
1314,identify,идентифицировать
1315,identity,личность
1316,ie,т.е.
1317,if,если
1318,ignore,игнорировать
1319,ill,больной
1320,illegal,незаконно
1321,illness,болезнь
1322,illustrate,иллюстрировать
1323,image,изображение
1324,imagination,воображение
1325,imagine,представлять себе
1326,immediate,немедленный
1327,immediately,немедленно
1328,immigrant,иммигрант
1329,immigration,иммиграция
1330,impact,влияние
1331,implement,воплощать в жизнь
1332,implication,подразумевание
1333,imply,подразумевать
1334,importance,важность
1335,important,важный
1336,impose,навязывать
1337,impossible,невозможный
1338,impress,впечатление
1339,impression,впечатление
1340,impressive,впечатляющий
1341,improve,улучшать
1342,improvement,улучшение
1343,in,в
1344,incentive,стимул
1345,incident,инцидент
1346,include,включать
1347,including,включая
1348,income,доход
1349,incorporate,включать в себя
1350,increase,увеличивать
1351,increased,повысился
1352,increasing,увеличение
1353,increasingly,всё
1354,incredible,невероятный
1355,indeed,конечно
1356,independence,независимость
1357,independent,независимый
1358,index,показатель
1359,Indian,Индийский
1360,indicate,указывать
1361,indication,индикация
1362,individual,индивидуальный
1363,industrial,индустриальный
1364,industry,промышленность
1365,infant,младенца
1366,infection,инфекционное заболевание
1367,inflation,инфляция
1368,influence,влияние
1369,inform,поставить в известность
1370,information,Информация
1371,ingredient,ингредиент
1372,initial,исходный
1373,initially,изначально
1374,initiative,инициатива
1375,injury,"травма, повреждение"
1376,inner,внутренний
1377,innocent,невиновный
1378,inquiry,расследование
1379,inside,внутри
1380,insight,на виду
1381,insist,настаивать
1382,inspire,вдохновлять
1383,install,установить
1384,instance,пример
1385,instead,вместо
1386,institution,институт
1387,institutional,институциональный
1388,instruction,инструкция
1389,instructor,инструктор
1390,instrument,инструмент
1391,insurance,страхование
1392,intellectual,интеллектуал
1393,intelligence,интеллект
1394,intend,намереваться
1395,intense,интенсивный
1396,intensity,интенсивность
1397,intention,намерение
1398,interaction,взаимодействие
1399,interest,интерес
1400,interested,заинтересовать
1401,interesting,интересно
